541 time:107.41,best fitness:-11.382147620400744
542 time:110.74,best fitness:-11.365685733144412
543 time:106.66,best fitness:-12.059059856297289
544 time:105.54,best fitness:-11.912480785571423
545 time:108.43,best fitness:-10.287597230775472
546 time:110.3,best fitness:-12.431016230202866
547 time:111.62,best fitness:-11.37021988643363
548 time:116.75,best fitness:-11.992195665719372
549 time:113.18,best fitness:-10.927953151586394
550 time:114.32,best fitness:-11.091699286873505
551 time:126.94,best fitness:-11.142887084259966
552 time:127.52,best fitness:-11.499964753229214
553 time:121.62,best fitness:-12.020829757241225
554 time:137.98,best fitness:-11.08833348998295
555 time:142.04,best fitness:-11.70951329556049
556 time:137.93,best fitness:-11.087333080721784
557 time:140.93,best fitness:-11.652122463812118
558 time:145.72,best fitness:-11.5532843285512
559 time:136.39,best fitness:-12.51633532778654
560 time:143.27,best fitness:-12.18774333249988
561 time:136.19,best fitness:-11.377631489382575
562 time:147.16,best fitness:-12.163110383948116
563 time:130.85,best fitness:-12.031254020026745
564 time:132.41,best fitness:-11.649726266705699
565 time:143.32,best fitness:-11.930143051393381
566 time:149.63,best fitness:-11.439873986440181
567 time:152.3,best fitness:-11.561473732869642
568 time:151.51,best fitness:-11.69227199516176
569 time:122.81,best fitness:-11.063409309688089
570 time:118.73,best fitness:-11.416511176598348
571 time:112.7,best fitness:-11.638436202632326
572 time:112.84,best fitness:-12.064881586655986
573 time:117.22,best fitness:-11.59872706428051
574 time:113.97,best fitness:-11.363348685918758
575 time:113.17,best fitness:-11.18103487709213
576 time:108.6,best fitness:-11.204916988671448
577 time:110.51,best fitness:-11.86367587281069
578 time:110.96,best fitness:-11.888375588786454
579 time:112.96,best fitness:-11.234863372461087
580 time:113.26,best fitness:-11.31529144613579
581 time:112.41,best fitness:-11.846896327313106
582 time:111.09,best fitness:-13.24894537246871
583 time:111.53,best fitness:-11.538314968651827
584 time:111.87,best fitness:-11.812718628885742
585 time:112.25,best fitness:-11.711483475137058
586 time:111.6,best fitness:-11.504653625777443
587 time:113.23,best fitness:-11.828030477511838
588 time:111.91,best fitness:-12.311049676121039
589 time:112.06,best fitness:-12.181674407017423
590 time:113.08,best fitness:-11.116045403424044
591 time:127.32,best fitness:-11.80364202050327
592 time:131.07,best fitness:-11.6562459275168
593 time:210.82,best fitness:-11.875440254766133
594 time:200.98,best fitness:-11.339045580405129
